Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
12-01-2015,"2,609","10,262",6.16,0,558,124,141,16,"1,188"
13-01-2015,"2,505","10,035",6.02,0,683,81,117,19,"1,026"
14-01-2015,"2,775","13,438",8.06,0,"1,126",115,154,29,"1,389"
15-01-2015,"2,588","10,390",6.23,0,709,96,139,18,"1,123"
16-01-2015,"2,509","9,049",5.43,0,"1,198",114,109,19,"1,039"
17-01-2015,"2,319","6,025",3.62,0,788,107,85,9,786
18-01-2015,"2,603","9,620",5.77,0,561,154,103,32,"1,193"
19-01-2015,"2,325","5,488",3.29,0,890,133,75,7,802
20-01-2015,"2,412","7,283",4.37,0,"1,124",116,100,12,912
21-01-2015,"2,187","3,910",2.35,0,470,122,43,5,618
22-01-2015,"2,302","6,298",3.78,0,931,87,70,17,741
23-01-2015,"2,415","7,499",4.51,0,"1,148",107,73,28,890
24-01-2015,"2,961","14,113",8.47,0,680,191,134,57,"1,656"
25-01-2015,"2,690","10,166",6.1,0,"1,112",195,98,35,"1,320"
26-01-2015,"2,655","10,746",6.45,0,"1,036",143,151,14,"1,266"
27-01-2015,"2,369","7,624",4.57,0,905,76,61,38,817
28-01-2015,"2,212","5,013",3.01,0,"1,281",92,53,14,640
29-01-2015,"2,291","6,560",3.94,0,"1,281",71,69,19,717
30-01-2015,"2,392","8,129",4.88,0,"1,269",63,65,43,832
31-01-2015,"2,439","7,143",4.29,0,"1,186",141,110,3,965
01-02-2015,"2,675","10,215",6.13,0,977,175,130,23,"1,308"
02-02-2015,"2,451","8,774",5.26,0,908,79,74,41,916
03-02-2015,"2,277","5,765",3.46,0,"1,260",98,70,12,729
04-02-2015,"2,352","7,542",4.53,0,"1,275",64,62,39,784
05-02-2015,"2,291","6,390",3.83,0,"1,159",79,64,23,727
06-02-2015,"2,200","4,429",2.66,0,798,106,55,5,628
07-02-2015,"2,467","7,474",4.48,0,746,156,106,10,"1,036"
08-02-2015,"2,271","5,158",3.09,0,"1,224",136,80,0,781
09-02-2015,"1,707",0,0,0,"1,440",0,0,0,0
10-02-2015,"2,427","7,531",4.52,0,"1,204",123,105,8,946
11-02-2015,"2,097","3,574",2.14,0,"1,307",76,52,5,502
12-02-2015,"2,271","6,201",3.72,0,"1,276",71,83,10,704
13-02-2015,"2,163","4,207",2.52,0,"1,292",91,51,6,574
14-02-2015,"2,347","5,907",3.54,0,"1,211",135,91,3,849
15-02-2015,"2,411","8,758",5.25,0,"1,267",62,68,43,871
16-02-2015,"2,167","4,251",2.55,0,"1,288",89,58,5,584
17-02-2015,"2,080","3,467",2.08,0,"1,318",63,56,3,467
18-02-2015,"2,303","6,206",3.72,0,"1,265",93,61,21,740
19-02-2015,"2,247","5,710",3.43,0,"1,134",68,79,9,661
20-02-2015,"2,138","4,075",2.44,0,967,81,51,6,542
21-02-2015,"3,010","15,091",9.05,0,948,185,216,22,"1,757"
22-02-2015,"2,788","11,844",7.11,0,249,188,119,39,"1,443"
23-02-2015,"2,437","8,383",5.03,0,896,76,59,47,874
24-02-2015,"2,300","6,768",4.22,0,"1,174",61,47,35,710
25-02-2015,"2,319","7,138",4.28,0,947,66,50,42,750
26-02-2015,"2,146","4,318",2.59,0,"1,296",74,65,5,563
27-02-2015,"2,229","5,278",3.17,0,"1,271",94,67,8,675
28-02-2015,"2,403","7,081",4.25,0,"1,210",123,95,12,912
01-03-2015,"2,501","10,508",7.33,0,"1,249",119,52,20,971
02-03-2015,"2,410","7,384",4.43,0,"1,095",132,79,20,937
03-03-2015,"3,216","26,648",19.45,0,909,93,37,66,"1,690"
04-03-2015,"2,193","5,210",3.13,0,"1,296",69,56,19,611
05-03-2015,"2,564","9,841",5.9,0,751,100,101,35,"1,068"
06-03-2015,"2,491","8,202",4.92,0,862,122,92,29,"1,007"
07-03-2015,"2,606","9,567",5.74,0,"1,141",151,137,11,"1,198"
08-03-2015,"3,587","30,499",21.87,0,"1,186",108,74,72,"2,141"
09-03-2015,"2,089","3,424",2.05,0,"1,318",70,47,5,469
10-03-2015,"2,444","8,277",4.97,0,"1,130",88,69,39,898
11-03-2015,"2,230","5,116",3.07,0,"1,022",99,62,9,669
12-03-2015,"2,200","4,765",2.86,0,715,91,61,6,623
13-03-2015,"2,423","8,264",4.96,0,923,73,70,39,861
14-03-2015,"2,349","6,876",4.13,0,"1,236",101,94,9,828
15-03-2015,"2,483","9,385",5.63,0,"1,122",87,73,47,980
16-03-2015,"2,422","8,247",4.97,0,778,98,76,31,908
17-03-2015,"2,471","8,835",5.3,0,783,97,101,26,981
18-03-2015,"2,409","7,958",4.79,0,911,92,65,37,878
